k,alpha,mae,rmse,prec,recall
650,1,0.7776246023329798,1.0634683847215332,0.3780487804878049,0.3780487804878049
655,7,0.7778366914103924,1.063568095788718,0.3778366914103924,0.3778366914103924
660,2,0.7781548250265111,1.0638173325685056,0.37762460233297984,0.37762460233297984
665,1,0.7782608695652173,1.0640665109694516,0.37762460233297984,0.37762460233297984
670,4,0.7781548250265111,1.064016679957601,0.3777306468716861,0.3777306468716861
675,1,0.7783669141039237,1.0641163396477888,0.37751855779427357,0.37751855779427357
680,1,0.7786850477200424,1.0644650750852995,0.3773064687168611,0.3773064687168611
685,2,0.7785790031813362,1.0643156310325586,0.37741251325556735,0.37741251325556735
690,1,0.7784729586426299,1.0640665109694516,0.37741251325556735,0.37741251325556735
695,1,0.7782608695652173,1.063966846611909,0.37762460233297984,0.37762460233297984
