k,mae,rmse,prec,recall
240,0.7628844114528102,1.0518881674689005,0.38759278897136795,0.38759278897136795
245,0.7632025450689289,1.051535260982787,0.3869565217391304,0.3869565217391304
250,0.762778366914104,1.0519385730164037,0.388016967126193,0.388016967126193
255,0.7637327677624602,1.0527950980878444,0.3870625662778367,0.3870625662778367
260,0.7645811240721103,1.0534999487895962,0.38663838812301166,0.38663838812301166
265,0.7642629904559916,1.0534496179509372,0.3872746553552492,0.3872746553552492
270,0.7630965005302227,1.0516865211203652,0.38748674443266173,0.38748674443266173
275,0.7633085896076353,1.0519889761487495,0.38748674443266173,0.38748674443266173
280,0.7641569459172852,1.0526943666042778,0.3869565217391304,0.3869565217391304
285,0.7641569459172852,1.0525936254808734,0.3869565217391304,0.3869565217391304
290,0.7652173913043478,1.0534999487895962,0.3862142099681866,0.3862142099681866
295,0.7661717921527041,1.053952818179276,0.3853658536585366,0.3853658536585366
300,0.7656415694591728,1.053902508968136,0.38579003181336163,0.38579003181336163
305,0.7655355249204666,1.053751566923254,0.38589607635206785,0.38589607635206785
310,0.7653234358430541,1.0546568951511794,0.3869565217391304,0.3869565217391304
315,0.7658536585365854,1.0547071683783287,0.3863202545068929,0.3863202545068929
320,0.7667020148462355,1.055812573746008,0.3860021208907741,0.3860021208907741
325,0.7674443266171792,1.05596322118542,0.38515376458112405,0.38515376458112405
330,0.7664899257688229,1.0555112143638892,0.3861081654294804,0.3861081654294804
335,0.7662778366914104,1.0555112143638892,0.38642629904559916,0.38642629904559916
340,0.7670201484623542,1.0554609794346856,0.38547189819724287,0.38547189819724287
345,0.7672322375397667,1.0554609794346856,0.38515376458112405,0.38515376458112405
350,0.767762460233298,1.0556116770504884,0.3845174973488865,0.3845174973488865
355,0.7683987274655355,1.056314648325598,0.38419936373276775,0.38419936373276775
360,0.7680805938494167,1.0557623531559854,0.38419936373276775,0.38419936373276775
365,0.7679745493107105,1.0556116770504884,0.384305408271474,0.384305408271474
370,0.7687168610816543,1.0567663114972905,0.38419936373276775,0.38419936373276775
375,0.7691410392364794,1.0571676278742357,0.38398727465535526,0.38398727465535526
380,0.7693531283138918,1.0569669887325779,0.3835630965005302,0.3835630965005302
385,0.7694591728525981,1.0570171520884228,0.38345705196182395,0.38345705196182395
390,0.7697773064687169,1.0569669887325779,0.3831389183457052,0.3831389183457052
395,0.7693531283138918,1.0566659585877536,0.38345705196182395,0.38345705196182395
400,0.7697773064687169,1.0567663114972905,0.3829268292682927,0.3829268292682927
405,0.7698833510074231,1.0568164843785768,0.38271474019088014,0.38271474019088014
410,0.7703075291622481,1.0570171520884228,0.3823966065747614,0.3823966065747614
415,0.771049840933192,1.0576690592110092,0.3819724284199364,0.3819724284199364
420,0.7714740190880169,1.0575687919633827,0.3813361611876988,0.3813361611876988
425,0.7713679745493107,1.0581201442467,0.3819724284199364,0.3819724284199364
430,0.7711558854718982,1.0577191892704827,0.3819724284199364,0.3819724284199364
435,0.7716861081654295,1.058470855258472,0.3818663838812301,0.3818663838812301
440,0.7724284199363732,1.0592219878345592,0.3814422057264051,0.3814422057264051
445,0.7720042417815483,1.0586211244102963,0.38165429480381763,0.38165429480381763
450,0.7714740190880169,1.0580700331839814,0.3819724284199364,0.3819724284199364
455,0.772322375397667,1.0590718039378049,0.38165429480381763,0.38165429480381763
460,0.7725344644750796,1.0590718039378049,0.3813361611876988,0.3813361611876988
465,0.7721102863202545,1.0586712093877053,0.38154825026511135,0.38154825026511135
470,0.7724284199363732,1.0589215987408878,0.3812301166489926,0.3812301166489926
475,0.7729586426299045,1.0593721504402096,0.3809119830328738,0.3809119830328738
480,0.7731707317073171,1.059472247020056,0.3806998939554613,0.3806998939554613
485,0.7734888653234359,1.0595222917638085,0.3802757158006363,0.3802757158006363
490,0.7739130434782608,1.05982251060103,0.3799575821845175,0.3799575821845175
495,0.7738069989395546,1.0596724118144019,0.3799575821845175,0.3799575821845175
500,0.7737009544008484,1.0595222917638085,0.3799575821845175,0.3799575821845175
505,0.7740190880169672,1.0599725881327258,0.37985153764581125,0.37985153764581125
510,0.7743372216330859,1.0602226701435506,0.3796394485683987,0.3796394485683987
515,0.7750795334040297,1.0610725080993884,0.3792152704135737,0.3792152704135737
520,0.7749734888653235,1.0611224773715016,0.37932131495227994,0.37932131495227994
525,0.7749734888653235,1.0613223309333777,0.3795334040296925,0.3795334040296925
530,0.776033934252386,1.0624208535177553,0.3790031813361612,0.3790031813361612
535,0.7768822905620361,1.062919806653568,0.3782608695652174,0.3782608695652174
540,0.7767762460233298,1.062969689085801,0.3784729586426299,0.3784729586426299
545,0.7768822905620361,1.0630195691772897,0.37836691410392365,0.37836691410392365
